Problem	Chaotic_EMPSO	NSGAII	SMPSO
ZDT1	0.3314989236796186	0.000143836357816001	8.393980242169162e-05
ZDT2	0.4401333653414032		4.375343926332499e-05
ZDT3	0.437020099644868		0.0001998702826693834
